cumulative	kmer_size	perc
unique	21	25.54763917
unique	31	36.2661137
unique	41	45.32022719
unique	51	53.18126604
unique	61	59.93433044
unique	71	65.67755901
unique	81	70.52575112
unique	91	74.59554553
unique	101	78.00176203
five	21	43.66981931
five	31	53.93288719
five	41	62.28479864
five	51	69.12374063
five	61	74.67970759
five	71	79.164994
five	81	82.77764956
five	91	85.68232518
five	101	88.02047659
ten	21	50.67822306
ten	31	60.4317068
ten	41	68.17188088
ten	51	74.33100391
ten	61	79.21411538
ten	71	83.07863729
ten	81	86.14307918
ten	91	88.57404062
ten	101	90.51224423
