genotype	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
WATDE0003	0.0294353	0.00351015	-0.0142762	0.0247996	0.00246994	0.000476383	0.0163528	-0.0300578	-0.014226	0.0246937
WATDE0010	0.0169475	0.0095708	-0.00927792	0.00929716	0.0085443	-0.00813369	0.0402473	-0.0203703	-0.00457654	-0.0142442
WATDE0339	0.0320025	0.0109787	-0.0232255	0.018624	-0.00325645	0.010772	-0.00469266	-0.0878513	0.0102138	-0.0561438
WATDE0459	0.00393484	-0.0309419	0.048509	-0.00186231	-0.0208743	-0.00645429	0.0197167	0.00440694	0.00862411	-0.0108744
WATDE0476	0.0170778	0.042901	0.0109903	-0.0155705	0.0052169	-0.00746279	-0.00537858	0.0426322	0.0121491	-0.00929915
WATDE0526	0.0190136	0.0155137	0.00348568	-0.00763504	0.0030179	-0.00267216	0.00576057	-0.000981456	0.0137477	0.0137664
WATDE0532	0.0177026	0.0225161	0.0419419	-0.0293766	-0.00865615	-0.0175233	0.00713285	0.0602276	0.021867	-0.0177051
WATDE0576	-0.0865317	-0.00013574	-0.0214388	0.017822	-0.00991569	-0.0250911	-0.0084881	-0.00877829	0.0389735	-0.0120967
WATDE0612	-0.0414766	0.00864124	-0.0265703	-0.023491	0.0168969	0.00502714	0.0676078	0.00169696	-0.0868322	-0.0304097
WATDE0061	-0.0796339	-0.0173373	0.0344502	0.0070935	0.0065209	0.0187759	0.00025565	0.0173282	0.0228384	-0.00952547
WATDE0668	0.0288434	-0.00838249	-0.0121768	0.0242128	-0.00495345	0.000519014	0.000264886	0.00277908	0.00239613	0.0217428
WATDE0714	-0.0615395	-0.00172613	-0.0624153	0.0248806	-0.00799838	-0.0391146	0.0135744	0.0147401	-0.032973	-0.0216178
WATDE0762	0.0272295	-0.0130989	-0.0137639	0.0219004	0.0035976	0.000648266	0.0103983	-1.43E-05	0.0242094	0.00931681
WATDE0801	0.0354523	-0.0434885	0.00170519	0.0368067	-0.0188273	0.00864311	-0.0306837	0.0299522	-0.0113621	0.00415632
WATDE0868	-0.00208487	-0.00721111	-0.0313317	0.0219449	-0.0156285	-0.0237769	-0.0222047	-0.00525249	0.0012101	0.00694743
WATDE0100	-0.0209692	-0.0446735	0.0285501	-0.00125023	-0.0065685	0.00740721	0.0183638	0.00783402	0.00421772	0.0144014
WATDE1030	-0.0769355	0.0107828	-0.0109372	0.0260996	0.0373696	0.0404282	0.0374786	-0.00630176	0.0075139	-0.00542513
WATDE0001	0.00625505	0.00590805	-0.00441494	0.0110396	0.0129923	0.00137826	0.0441258	-0.00506139	-0.00700218	0.0234005
WATDE0002	0.0252452	-0.0311995	0.0335804	0.0114841	-0.0100832	-0.019299	0.0461055	-0.00125153	-0.00941757	0.0478114
WATDE0004	0.0261048	0.018568	-0.00516672	0.00729869	0.00569633	-0.00497529	0.0210967	-0.00566788	0.0057699	0.0349852
WATDE0005	-0.0592878	0.0163916	-0.0336042	-0.0188737	0.0539846	0.0498066	0.106947	0.0248382	-0.125607	-0.0297327
WATDE0006	0.030044	0.0217889	-0.0342051	0.00482885	-0.00525207	0.00399933	-0.017331	-0.0961944	-0.0161549	0.0303862
WATDE0007	0.0281908	0.0241651	-0.0331031	0.0158717	-0.00497739	0.00638815	-0.0266386	-0.0949834	-0.00808492	-0.000144487
WATDE0008	0.0363769	-0.0332004	0.0104317	0.0328161	-0.016109	0.00194067	-0.00692562	0.0261958	-0.00869958	0.0114256
WATDE0009	0.0325615	-0.0312075	0.0110102	0.0310141	-0.0161863	9.54E-05	-0.00639988	0.0248973	-0.00870381	0.010643
WATDE0011	-0.00941803	0.0488352	-0.004091	-0.0146973	0.0309776	0.00425526	0.0325201	0.0187965	-0.0557461	0.0337603
WATDE0012	-0.0245163	0.0209437	-0.0330968	-0.00444724	0.0179762	-0.00312098	0.0203209	-0.00297776	-0.0210387	0.00552438
WATDE0013	0.0252883	-0.000451186	-0.0423837	0.0606947	0.00512721	0.0374949	-0.0609138	0.0477345	-0.016891	-0.0142813
WATDE0014	0.0223734	0.00536133	-0.056368	-0.0425766	-0.00097164	0.0257157	-0.00121556	-0.0687291	-0.0470087	0.0463776
WATDE0015	-0.0220598	0.0137275	-0.00767125	-0.0019995	0.0175324	0.0116586	0.0588725	-0.0223414	-0.0674378	-0.0101495
WATDE0016	-0.00946363	0.0386553	0.00831019	-0.0142422	0.00687785	-0.00609627	0.0138988	0.0072576	0.00198342	-0.027112
WATDE0017	0.0326246	0.00706938	-0.0234042	0.0440183	-0.00506497	0.0146909	-0.0436648	0.0249445	-0.00431075	-0.00185546
WATDE0018	0.028372	0.00890873	-0.00680199	0.0200583	0.000934761	-0.00360153	0.00920283	-0.0142033	-0.0126645	0.0326317
WATDE0019	0.0358456	-0.00170938	-0.0218385	0.0250953	0.000958768	0.0157307	-0.0142889	0.0148028	-0.0214412	0.0431921
WATDE0020	0.021756	0.0172836	0.0104811	-0.0190846	-0.0137601	-0.0143097	-0.00563489	-0.0260059	-0.0282637	0.0701089
WATDE0021	0.0263801	0.0255881	-0.00990926	0.0202897	0.00213487	0.00514622	-0.0271676	0.0261194	-0.00145587	-0.0170509
WATDE0022	0.0186935	0.056607	-0.000171881	-0.0348928	0.00616429	-0.0124388	0.0141816	0.00922046	0.0161917	0.00403087
WATDE0023	-0.0815631	-0.00235507	-0.0357318	-0.000264922	0.0502737	0.053647	0.0919505	0.0132364	-0.0995698	-0.0416251
WATDE0024	0.0156628	0.00292314	-0.0628356	-0.0737625	-0.0298725	0.0305686	-0.0375527	-0.0612328	-0.0199365	0.119422
WATDE0025	0.0326741	-0.0232871	-0.00440114	0.0326388	0.00122775	-0.00351166	0.0498836	-0.0323623	0.00789532	0.0538172
WATDE0026	0.0301979	-0.0516219	0.0571582	0.0195538	-0.0303633	-0.00667451	0.0185962	-0.0407577	-0.053411	0.044096
WATDE0027	0.0176255	-0.0436284	0.0186697	-0.00680765	-0.0109074	0.00895228	0.0397313	0.0176901	-0.00426287	-0.0114071
WATDE0028	0.0100193	-0.0292395	0.0371353	0.00356187	-0.0128691	-0.00557378	0.047914	0.000577727	-0.00840447	0.0375324
WATDE0029	0.0178408	-0.0475103	0.0241432	0.0216544	-0.00874933	-0.00355453	0.0579617	-0.000139397	-0.010369	0.0417517
WATDE0030	0.0219779	0.043783	-0.0173941	-0.0130313	0.000571271	-0.00799531	-0.0132582	-0.0451211	-0.0047316	0.0417424
WATDE0031	-0.0281844	0.0224538	0.0134727	0.00853516	0.0163242	0.0166812	-0.00454052	0.00597539	0.0108165	-0.000690852
WATDE0032	0.0250145	-0.0346071	0.0284163	0.00903617	-0.0178934	-0.00897916	0.0372599	0.00486039	0.00744613	0.00101206
WATDE0033	-0.065271	-0.0167811	-0.041676	0.040079	-0.0296642	-0.0540063	-0.0163502	0.00476677	0.0116208	0.00753606
WATDE0034	0.0267544	-0.0156259	-0.0294578	0.0652662	0.00828578	0.0215687	-0.0022867	0.0027146	0.000294415	-0.101365
WATDE0035	0.0187819	-0.0511114	0.00657148	0.0113288	-0.0102576	0.0121312	0.0194367	0.031444	-0.000815724	0.0169264
WATDE0036	0.0140449	-0.0900672	-0.134794	-0.178613	-0.0908611	0.114527	-0.0218654	0.0037346	0.0548287	-0.0318255
WATDE0037	0.0257717	-0.0556721	0.0282182	0.0114686	-0.00150865	-0.00859017	0.0452598	-0.00929438	0.00927403	-0.000750926
WATDE0038	0.0228243	-0.0617723	0.00307299	-0.0135524	-0.00888283	0.0165947	0.0261695	0.00967812	-0.00992217	0.0210141
WATDE0039	-0.00176058	-0.0319113	0.0543748	0.0107457	-0.0209494	-0.00313758	0.0164565	0.00270515	-0.0063626	0.019013
WATDE0040	-0.000729517	-0.0193035	0.056329	0.00685841	-0.0168476	-0.00943129	0.016735	0.00756774	-0.0018313	0.0195001
WATDE0041	0.0104427	-0.0392414	0.0312149	-0.015449	0.00369901	-0.0143071	0.00308319	0.0118058	0.0178756	0.0132543
WATDE0042	-0.0558109	0.00105524	0.0114068	-0.0192366	0.0199261	0.063167	-0.0486428	-0.028536	-0.0628942	0.0152445
WATDE0043	0.0180979	0.00402634	-0.0367225	0.0639258	0.0112419	0.0342062	-0.0703053	0.056258	-0.0202658	0.00466797
WATDE0044	0.00684983	-0.0395788	-0.108913	-0.118421	-0.0391126	0.0576887	-0.035268	-0.0558136	-0.0445274	0.110141
WATDE0045	0.00710473	-0.039798	-0.109329	-0.118949	-0.0391748	0.0581983	-0.0356698	-0.0560074	-0.044663	0.110646
